"bookname";"price";"author";"data";"public"
"【XSM】Python高级编程 [美] Luke Sneeringer；宋�V剑,刘磊 清华大学出版社9787302452";49.8;"Luke";"2016-11-01";"清华大学出版社"
"【全2册】Python数据分析第2版 数据科学教程书第二版核心编程 用Python写网络爬虫第二版Python3网络分布";109.8;"刘炳文";"2020-09-12";"清华大学"
"【全2册】小天才学Python+教学指导 scratch少儿趣味编程 小学生C++趣味编程设计 小学生儿童编程入门教程";99.22;"不详";"Unknow";"不详"
"【全3册】Python基础教程自学 Python编程从入门到实践 python语言编程入门 零基础学习Python编程开";288.36;"齐文光";"2021-04-18";"人民邮电出版社"
"【全3册】教孩子学Python编程 父与子的编程之旅 少儿编程入门基础教程书籍计算机程序设计入门教程 青少年儿童趣味编程";186.84;"Briggs";"2021-04-18";"人民邮电出版社"
"【全3册】深度学习入门基于Python的理论与实现+Python深度学习+深度学习的数学Python";195.1;"斋藤康毅";"2018-07-01";"人民邮电出版社"
"【全新正版】Python第三方库开发应用实战";99.0;"张有菊";"Unknow";"人民邮电出版社"
"【全新正版】认识编程――以Python语言讲透编程的本质正版";78.32;"郭屹";"2021-08-01";"机械工业出版社"
"【共3册】Python编程从入门到实践+Python编程快速上手+Python极客项目编程 python编程语言从入门到";219.33;"不详";"Unknow";"不详"
"【共4册】从零起步学编程Python+Java+C#+CSS篇 编程入门书 自学python程序设计基础教程 实践计算机";112.5;"Jamie";"2019-09-01";"人民邮电出版社"
"【出版社正版书】基于Python的金融分析与风险管理 科技金融大数据风控金融分析师教程 量化交易金融市场技术分析期权期货";108.0;"斯文";"2020-11-29";"人民邮电出版社"
"【包邮特价】Python Django Wb典型模块开发实战|232654";45.5;"寇雪松";"2019-08-02";"机械工业出版社"
"【包邮特价】Python Flask Web开发入门与项目实战|232617";45.5;"钱游";"2019-07-04";"机械工业出版社"
"【包邮特价】Python Linux系统管理与自动化运维|230991";42.72;"赖明星";"2017-09-01";"机械工业出版社"
"【包邮特价】Python3智能数据分析快速入门|232504";57.12;"李明江";"2019-06-19";"机械工业出版社"
"【包邮特价】Python图形编程：2D和3D图像的创建|233574";40.9;"J.科里特斯";"2020-04-13";"机械工业出版社"
"【包邮特价】Python大学教程：面向计算机科学和数据科学（英文版）|234137";77.7;"保罗・戴特尔";"2021-03-05";"机械工业出版社"
"【包邮特价】Python大数据分析与机器学习商业案例实战|233026";47.9;"王宇韬";"2020-06-01";"机械工业出版社"
"【包邮特价】Python学习手册（原书第5版）|231903";105.12;"马克・卢茨";"2018-10-18";"机械工业出版社"
"【包邮特价】Python安全攻防：渗透测试实战指南|233743";47.52;"吴涛";"2020-09-11";"机械工业出版社"
"【包邮特价】Python开发技术大全|233866";68.5;"吴仲治";"2020-07-28";"机械工业出版社"
"【包邮特价】Python数据分析与数据化运营 第2版|232489";59.3;"宋天龙";"2019-06-04";"机械工业出版社"
"【包邮特价】Python数据分析与数据化运营|231053";47.52;"宋天龙";"2018-01-01";"机械工业出版社"
"【包邮特价】Python数据整理|233830";45.5;"提尔塔吉奥蒂・萨卡";"2020-06-01";"机械工业出版社"
"【包邮特价】Python数据科学：技术详解与商业实践|231640";45.5;"常国珍";"2018-07-01";"机械工业出版社"
"【包邮特价】Python文本分析（原书第2版）|233770";59.3;"迪潘简・萨卡尔";"2020-10-13";"机械工业出版社"
"【包邮特价】Python机器学习系统构建（原书第3版）|233972";40.9;"路易斯・佩德罗・科埃略";"2020-11-18";"机械工业出版社"
"【包邮特价】Python深度学习：基于PyTorch|232800";40.9;"吴茂贵";"2019-10-14";"机械工业出版社"
"【包邮特价】Python真好玩：教孩子学编程|232669";40.5;"刘凤飞";"2019-08-14";"机械工业出版社"
"【包邮特价】Python科学计算（原书第2版）|232718";40.9;"约翰・M";"2019-08-07";"机械工业出版社"
"【包邮特价】Python科学计算入门与实战（视频教学版）|234096";59.3;"裴尧尧";"2020-12-02";"机械工业出版社"
"【包邮特价】Python程序设计（原书第2版）|231911";54.7;"凯・霍斯特曼";"2018-10-24";"机械工业出版社"
"【包邮特价】Python程序设计（原书第3版）|234228";76.05;"凯・霍斯特曼";"2021-04-20";"机械工业出版社"
"【包邮特价】Python程序设计与算法思维|233028";66.72;"斯图尔特・里杰斯";"2020-06-02";"机械工业出版社"
"【包邮特价】Python程序设计基础（原书第4版）|231964";47.52;"托尼・加迪斯";"2018-11-14";"机械工业出版社"
"【包邮特价】Python网络爬虫技术与实战|234074";40.9;"赵国生";"2021-01-20";"机械工业出版社"
"【包邮特价】Python网络编程（原书第2版）|232421";45.78;"埃里克・周";"2019-07-04";"机械工业出版社"
"【包邮特价】Python进阶编程：编写更高效、优雅的Python代码|234225";59.3;"刘宇宙";"2021-04-12";"机械工业出版社"
"【包邮特价】Python金融大数据挖掘与分析全流程详解|232724";43.1;"王宇韬";"2019-08-09";"机械工业出版社"
"【包邮特价】Python金融大数据风控建模实战：基于机器学习|233833";54.7;"王青天";"2020-05-28";"机械工业出版社"
"【包邮特价】Python金融数据分析（原书第2版）|234224";40.9;"马伟明";"2021-04-09";"机械工业出版社"
"【包邮特价】Python青少年编程：像超级英雄一样学习|234179";40.9;"詹姆斯・R.佩恩";"2021-04-14";"机械工业出版社"
"【包邮特价】Python青少年编程魔法课堂（案例+视频教学版）|233763";45.5;"蒋子阳";"2020-09-27";"机械工业出版社"
"【包邮特价】利用Python进行数据分析（原书第2版）|231781";57.12;"韦斯・麦金尼";"2018-07-17";"机械工业出版社"
"【包邮特价】数据结构与算法：Python语言实现|231688";52.32;"迈克尔";"2018-09-01";"机械工业出版社"
"【包邮特价】深度强化学习：基于Python的理论及实践（英文版）|233946";57.12;"劳拉・格雷泽";"2020-12-17";"机械工业出版社"
"【包邮特价】程序设计导论：Python计算与应用开发实践（原书第2版）|231920";45.5;"卢博米尔・佩尔科维奇";"2018-11-02";"机械工业出版社"
"【包邮特价】算法基础：Python和C#语言实现（原书第2版）|234019";54.7;"罗德・斯蒂芬斯";"2021-01-08";"机械工业出版社"
"【包邮特价】精通Python自动化编程|234128";57.12;"黄永祥";"2021-01-29";"机械工业出版社"
"【包邮特价】精通Twisted：Python事件驱动及异步编程|234105";45.5;"马克・威廉姆斯";"2020-12-16";"机械工业出版社"
"【包邮特价】趣学Python算法100例|233790";45.5;"刘河飞";"2020-09-24";"机械工业出版社"
"【包邮特价】零基础学Python（第2版）|233831";45.5;"黄传��";"2020-05-29";"机械工业出版社"
"【多仓发货】Python核心编程第3版 python程序设计开发大全 python入门到精通书籍 python网络编程入";66.0;"Wesley";"2016-01-01";"人民邮电出版社"
"【套装2册】Python程序设计教程+Python实验指导与习题集 王辉 清华大学出版社 软件工具Python程序设计计";78.52;"科恩";"Unknow";"世界图书出版公司"
"【套装2本】 Python3 网络爬虫开发实战 Python基础教程 第3版 python网络爬虫实战编程基础教程入门书";188.5;"黄天羽";"2020-11-29";"高等教育出版社"
"【套装2本】 python基础教程 python视频教程 Python编程从零基础到项目实战 基于Python的大数据分";113.5;"Unknow";"2020-11-29";"电子工业出版社"
"【套装2本】 Python基础教程 第3版 Python算法教程 Python教程书籍Python编程从入门到实践精通学";162.4;"芒努斯・利・海特兰德";"2018-01-01";"人民邮电出版社"
"【套装2本】 Python基础教程 第3版 算法图解 像小说一样有趣算法入门Python教程书籍Python编程head";144.0;"苏帕拉马尼亚姆";"2010-01-01";"人民邮电出版社"
"【套装2本】 Python基础编程 Python视频教程 Python编程从零基础到项目实战 Python深度学习 py";185.0;"唐纳德・诺里斯";"2020-11-29";"清华大学出版社"
"【套装2本】 Python基础编程 Python视频教程 Python编程从零基础到项目实战 Python神经网络编程入";150.7;"王英英";"2020-11-29";"清华大学出版社"
"【套装2本】 Python基础编程 新概念51单片机C语言教程 Python视频教程 Python编程从零基础到项目实战";156.7;"北京尚学堂科技有限公司";"2020-11-29";"清华大学出版社"
"【套装2本】 Python编程从入门到实践 Python深度学习入门 基于Python的理论与实现 python基础教程";144.9;"马哈切克";"2020-11-29";"人民邮电出版社"
"【套装2本】 Python编程从入门到实践 Python编程从零基础到项目实战 python基础教程 Python核心编";168.8;"Unknow";"Unknow";"人民邮电出版社"
"【套装2本】 流畅的Python Python编程 从入门到实践 python数据分析代码大全 Python开发基础教程";212.0;"卢西亚诺・拉马略";"2017-01-01";"人民邮电出版社"
"【套装2本】Python3 网络爬虫开发实战 Python编程从入门到实践 python网络爬虫 Scrapy数据分析处";161.8;"薛景";"2020-11-29";"人民邮电出版社"
"【套装2本】Python3网络爬虫开发实战基于Python3.6编程Python神经网络编程基于Python3.0编程人";159.4;"理查德";"2020-09-12";"人民邮电出版社"
"【套装2本】Python基础教程 第3版 Python核心编程 Python教程书籍 Python编程从入门到实践精通笨";188.5;"明日科技";"2020-11-29";"吉林大学出版社"
"【套装2本】Python基础编程 Python编程从入门到实践 Python深度学习 python人工智能机器学习神经网";223.0;"99.00";"2020-11-29";"清华大学出版社"
"【套装2本】Python基础编程 Python编程从零基础到项目实战 百面机器学习 算法工程师面试题 人工智能算法神经网";154.0;"Unknow";"2020-11-29";"东方出版社"
"【套装2本】Python机器学习 Python编程从入门到实践 python从入门到精通 python神经网络机器人编程";135.0;"Unknow";"2020-11-29";"吉林大学出版社"
"【套装2本】Python游戏编程入门 我的Python世界 玩Minecraft我的世界 学Python编程 Pytho";117.6;"明日科技";"2021-03-23";"吉林大学出版社"
"【套装2本】Python神经网络编程 python深度学习入门教程 图解深度学习 人工智能入门教程 深度学习机器学习算法";127.0;"李开复";"2017-01-01";"文化发展出版社"
"【套装2本】Python神经网络编程 精通数据科学从线性回归到深度学习 基于Python人工智能机器学习算法教程书神经网";164.8;"吴岸城";"2020-09-12";"电子工业出版社"
"【套装2本】Python编程从零基础到项目实战 Python编程从入门到实践 Python自然语言处理入门指南 Pyth";154.0;"约翰・弗兰克・韦弗";"2020-11-29";"上海人民出版社"
"【套装2本】Python编程从零基础到项目实战 python编程教程书 黑客与渗透测试程序设计书 黑客攻防技术 计算机网";145.8;"Kathy";"2021-04-18";"中国电力出版社"
"【套装2本】Python编程从零基础到项目实战 python网络爬虫 Scrapy入门 数据抓取 软件架构开发教程书籍";123.0;"弗里曼";"2020-11-29";"中国电力出版社"
"【套装2本】Python编程无师自通 专业程序员的养成 基于Python的大数据分析基础及实战 Python3网络爬虫数";127.0;"雨痕";"2016-01-01";"电子工业出版社"
"【套装2本】Python青少年入门 趣味编程 Python少儿编程 Python编程入门零基础 少儿编程基础入门教材 P";102.9;"方其桂";"2020-01-01";"清华大学出版社"
"【套装2本】大话Python机器学习Python在机器学习中的应用算法入门深度学习python语言编程机器学习算法原理数";149.58;"王小银";"2021-04-18";"清华大学出版社"
"【套装2本】数据结构 Python语言描述 Python基础教程 第3版 Python编程语言入门教程语言书籍 Pyth";162.4;"Unknow";"2020-11-29";"出版社"
"【套装2本】数据结构 Python语言描述 Python程序设计 第3版 Python编程语言入门教程书 Python基";141.9;"马伟";"2009-01-01";"人民邮电出版社"
"【套装2本】数据结构 Python语言描述 Python算法教程 Python编程语言从入门到精通 python数据分析";145.7;"国家863中部软件孵化器";"2020-11-29";"人民邮电出版社"
"【套装2本】深度学习入门 基于Python的理论与实现 人工智能书籍 Python神经网络编程 Python从入门到精通";211.0;"Unknow";"2017-01-01";"电子工业出版社"
"【套装2本】深度学习入门 基于Python的理论与实现笨办法学Python 3 深度学习入门书神经网络编程人工智能书籍P";118.0;"Unknow";"2020-11-29";"人民邮电出版社"
"【套装2本】笨办法学Python 3 Python神经网络编程 python基础教程编程入门 python核心编程编程书";127.5;"Unknow";"2018-01-01";"人民邮电出版社"
"【套装2本】算法图解 数据结构 Python语言描述 零基础学python数据结构 python编程入门到精通 pyth";118.8;"Magnus";"2017-01-01";"人民邮电出版社"
"【套装2本】算法实例精讲Python语言实现数据结构算法入门Python编程入门图书算法导论算法与数据结构教程程序设计算";131.0;"霍金明";"2018-01-01";"电子科技大学出版社"
"【套装2本】青少年学Python 教孩子学编程 Python语言版 青少年学Python 中小学生计算机编程入门 零基础";149.04;"黄达峰";"2021-04-18";"清华大学出版社"
"【套装3本】Java语言C语言Python编程从入门到项目实战2019java语言程序设计软件开发教程计算机编程零基础自";175.1;"Unknow";"2021-04-18";"北京理工大学出版社"
"【套装3本】Python Java C 语言从入门到精通计算机核心编程基础教程书籍 零基础自学电脑程序设计开发进阶实践教";240.6;"Unknow";"2020-11-29";"南京大学出版社"
"【套装3本】Python人工智能工程师 深度学习入门基于Python的理论与实现 Python深度学习 Python神经";239.0;"特伦斯谢诺夫斯基";"2019-01-01";"中信出版集团"
"【套装3本】Python基础教程 第3版 Python算法教程 数据结构 Python语言描述 Python核心编程书籍";230.6;"Unknow";"2010-01-01";"人民邮电出版社"
"【套装3本】python基础教程教材Python编程 Python大数据分析 算法实现 python入门python语言";192.0;"Unknow";"2020-11-29";"人民邮电出版社"
"【套装3本】Python深度学习 Python神经网络编程 Python编程从入门到精通 机器学习书籍 AI人工智能书籍";310.0;"Unknow";"2015-01-01";"北京航空航天大学出版社"
"【套装3本】Python游戏编程入门教程 C 游戏编程入门 零基础学游戏设计 游戏开发实战 游戏设计师教程书籍 pyth";128.5;"Unknow";"2021-03-23";"电子工业出版社"
"【套装3本】Python神经网络编程 机器学习实战 人工智能教材书籍 python深度学习入门AI算法 卷积神经网络教程";291.0;"Unknow";"2018-01-01";"人民邮电出版社"
"【套装3本】Python编程从入门到实践 Python基础教程第3版 零基础学习Python小甲鱼著python书籍Py";225.1;"鲁兹";"2020-09-12";"中国电力"
"【套装3本】Python编程从入门到实践 python基础视频教程 Python核心编程网络爬虫书籍 利用python数";248.0;"Unknow";"2016-01-01";"人民邮电出版社"
"【套装3本】Python编程快速上手 让繁琐工作自动化 Python极客项目编程 Python游戏编程快速上手 第4版";281.9;"赵宏";"2020-11-29";"清华大学出版社"
"【套装3本】机器学习 大话Python机器学习 Python在机器学习中的应用 python语言程序设计教程Python";224.5;"斯科特";"2020-11-29";"中国电力出版社"
"【套装4本】 Python基础编程 Python视频教程 Python编程从零基础到项目实战 Python深度学习机器学";359.7;"Donald";"2020-11-29";"清华大学出版社"
"【套装4本】Python C 游戏编程入门 第4版 腾讯游戏开发精粹 Python编程游戏开发教程书 游戏编程程序设计师";256.3;"陈昊";"2020-11-29";"电子工业出版社"
"【套装5本】Python深度学习入门 人工智能书籍 Python机器学习实战深度学习与神经网络编程ai算法 Tensor";367.0;"Unknow";"2017-01-01";"人民邮电出版社"
"【套装5本】Python深度学习入门 人工智能书籍 Python神经网络编程 机器学习实战 深度学习ai算法 Tenso";636.0;"Unknow";"2020-11-29";"济南出版社"
"【套装5本】Python深度学习入门人工智能书籍 Python神经网络编程 机器学习实战 深度学习ai算法 Tensor";471.6;"王晓华";"2020-11-29";"清华大学出版社"
"【套装6本】深度学习 Python神经网络编程 Python3破冰人工智能快速入门到实战第3版 TensorFlow算法";615.33;"缪鹏";"2019-01-01";"清华大学出版社"
"【套装7本】Python数据分析代码大全 流畅的Python编程从入门到精通教程 python语言程序设计算机软件开发网";817.97;"Unknow";"2018-01-01";"中国水利水电出版社"
"【套装8本】Python Java编程 C语言 C# 鸟哥的Linux私房菜 算法详解 C primer中文版Pytho";874.8;"霍特卡|译者";"2021-04-18";"人民邮电出版社"
"【套餐2本】Python基础教程 Python编程从入门到精通 python数据结构网络爬虫书籍 Python大数据分析";145.0;"李泉溪";"2020-11-29";"北京航空航天大学出版社"
"【官方旗舰店】 Python期货量化交易实战 基于python的金融分析 python金融大数据分析实战量化交易教程书籍";48.0;"酆士昌";"Unknow";"人民邮电出版社"
"【官方旗舰店】Python数据结构与算法分析第2二版 数据结构算法入门 python语言实现 Python编程入门进阶图";64.0;"布拉德利・米勒";"Unknow";"人民邮电出版社"
"【官方旗舰店】Python股票量化交易从入门到实践 股票炒股书籍趋势技术分析入门基础知识 量化投资python金融大数据";72.0;"袁霄";"Unknow";"人民邮电出版社"
"【官方旗舰店】中学生Python创意编程 青少年趣味游戏编程Python少儿编程教材基础入门青少年编程学Python计算";34.5;"方其桂";"2020-09-01";"人民邮电出版社"
"【官方旗舰店】用Python动手学统计学 统计学分析入门 Python编程从入门到实战 数据分析机器学习人工智能计算机编";62.2;"马场真哉";"2021-06-01";"人民邮电出版社"
"【官方旗舰店】用图形学Python3 Python青少年趣味编程儿童Python编程入门基础自学儿童少儿编程入门教程书籍";46.7;"佘友军";"2021-04-01";"人民邮电"
"【官方正版】Python学习手册 原书第5版共2册 Python编程从入门到实践head first零基础入门学Pyth";173.8;"马克・卢茨";"Unknow";"机械工业出版社"
"【官方正版】Python程序设计教程（21世纪高等学校计算机应用技术规划教材） 清华大学出版社 正版图书籍";39.5;"杨年华";"Unknow";"清华大学出版社"
"【官方正版】利用Python进行数据分析原书第2版 python基础入门教程python数据分析爬虫程序大数据处理手册计";94.34;"韦斯・麦金尼";"Unknow";"机械工业出版社"
"【官方正版书籍】 Python 3.8从入门到精通 视频教学版 王英英 程序设计 Python编程技巧 PyCharm";113.21;"不详";"Unknow";"不详"
"【当当网图书】 Python期货量化交易实战 基于python的金融分析 python金融大数据分析实战量化交易教程书籍";49.02;"酆士昌";"Unknow";"人民邮电出版社"
"【当当网图书】 流畅的Python python核心编程 python数据分析代码大全python编程从入门到精通Pyt";111.42;"Unknow";"Unknow";"人民邮电出版社"
"【当当网图书】【python学习套装】趣学Python编程+教孩子学编程 Python语言版 少儿零基础学计算机编程入门";116.57;"邹琪鲜";"Unknow";"清华大学出版社"
"【当当网图书】【官方正版】 Python基础入门 微课视频版 清华大学出版社 夏敏捷 21世纪高等学校通识教育规划教材";52.67;"夏敏捷";"Unknow";"清华大学出版社"
"【当当网图书】【官方正版】 Python数据分析基础 全国高等院校应用型创新规划教材 计算机系列 余本国 清华大学出版社";51.67;"余本国";"Unknow";"清华大学出版社"
"【当当网图书】【官方正版】 Python程序设计 清华大学出版社 黄蔚等 高等学校通识教育系列教材 软件工具 程序设计";76.63;"黄蔚";"Unknow";"清华大学出版社"
"【当当网图书】【官方正版】 Python程序设计 第3版 董付国 清华大学出版社 高等院校信息技术规划教材 软件工具 程";77.63;"董付国";"Unknow";"清华大学出版社"
"【当当网图书】【官方正版】 Python项目案例开发从入门到实战 清华大学出版社 Python项目案例开发从入门到实战";102.59;"郑秋生";"Unknow";"清华大学出版社"
"【当当网图书】【官方正版】 小天才学Python 教学指导 清华大学出版社 小天才学Python 朱慧 刘鹏等 Pyth";42.31;"朱慧";"Unknow";"清华大学出版社"
"【当当网图书】【官方正版】 小天才学Python 清华大学出版社 小天才学Python 刘思成 刘鹏 朱慧 Python";36.7;"刘思成";"Unknow";"清华大学出版社"
"【当当网图书】【官方正版】 深入浅出Python机器学习 段小手 深入浅出Python机器学习 清华大学出版社";89.11;"段小手";"Unknow";"清华大学出版社"
"【当当网图书】【官方正版】 玩转Python轻松过二级 计算机二级python 计算机二级 python python二";64.15;"董付国";"Unknow";"清华大学出版社"
"【当当网图书】【官方正版】Python可以这样学 董付国 清华大学出版社 零基础学习python的指南 Python基础";89.11;"董付国";"Unknow";"清华大学出版社"
"【当当网图书】【官方正版】Python数据挖掘与机器学习 魏伟一 清华大学出版社 Python大数据与人工智能技术丛书";77.63;"魏伟一";"Unknow";"清华大学出版社"
"【当当网图书】【官方正版】Python趣味编程：从入门到人工智能 Python趣味编程 人工智能 数学 算法 游戏 软件";76.63;"谢声涛";"Unknow";"清华大学出版社"
"【当当网图书】【旗舰店】Python期货量化交易实战/Python股票量化交易从入门到实践/基于Python的金融分析与";352.44;"斯文";"Unknow";"人民邮电出版社"
"【当当网图书】【旗舰店正版】 Python3网络爬虫开发实战/Python 3反爬虫原理与绕过实战 网络数据采集数据分析";193.63;"崔庆才";"Unknow";"人民邮电出版社"
"【当当网图书】【旗舰店正版】 Python数据分析基础 Python基础教程从入门到精通网络数据爬虫入门实战数据库书籍程";75.23;"Clinton";"Unknow";"人民邮电出版社"
"【当当网图书】【旗舰店正版】 Python数据科学手册 数据分析计算书籍 机器学习 NumPy数据存储 Matplotl";114.07;"杰克・万托布拉斯";"Unknow";"人民邮电出版社"
"【当当网图书】【旗舰店正版】 Python机器学习基础教程 机器学习算法 scikit learn库构建机器学习应用 编";64.62;"安德里亚斯・穆勒";"Unknow";"人民邮电出版社"
"【当当网图书】【旗舰店正版】 Python游戏编程入门 Python游戏开发小游戏教程图书python项目编程游戏设计入";57.44;"哈伯";"2015-01-01";"人民邮电出版社"
"【当当网图书】【旗舰店正版】 Python自然语言处理 编程书 网络计算机 小程序开发 量化交易python pytho";94.57;"Steven";"Unknow";"人民邮电出版社"
"【当当网图书】【旗舰店正版】 Python语言及其应用 python语言程序设计入门教程书籍学习手册核心编程基础教程数据";83.03;"Bill";"Unknow";"人民邮电出版社"
"【当当网图书】【旗舰店正版】 精通Python设计模式 第二版 第2版 软件工程书籍教程 系统架构 微服务设计模式之禅可";54.79;"卡蒙・阿耶娃";"Unknow";"人民邮电出版社"
"【当当网图书】【旗舰店正版】Python3网络爬虫开发实战 崔庆才 网络数据采集抓取处理分析书籍教程网络爬虫大数据教程动";116.57;"崔庆才";"Unknow";"人民邮电出版社"
"【当当网图书】【旗舰店正版】Python数据处理 python大数据分析爬虫开发零基础自学编程从入门到精通实践项目实战";107.05;"Jacqueline";"Unknow";"人民邮电出版社"
"【当当网图书】【旗舰店正版】Python期货量化交易实战/Python股票量化交易从入门到实践 Python金融分析从入";176.41;"酆士昌";"Unknow";"人民邮电出版社"
"【当当网图书】【旗舰店正版】Python程序设计与科学计算 数学建模入门 科学计算教程书籍 用Python开始数学建模之";55.88;"尹永学";"Unknow";"人民邮电出版社"
"【当当网图书】【旗舰店正版】Python网络爬虫权威指南 第2二版 Python 3网络爬虫开发实战入门教程 数据采集编";85.37;"瑞安・米切尔";"Unknow";"人民邮电出版社"
"【当当网图书】【旗舰店正版】Python计算机视觉编程";83.73;"Erik";"Unknow";"人民邮电出版社"
"【当当网图书】【旗舰店正版】Python金融大数据分析 第2二版 金融数据科学算法交易量化金融计算入门数据科学编程开发程";111.42;"伊夫・希尔皮斯科";"Unknow";"人民邮电出版社"
